sintoma,possivel_problema,solucao
luz de farol alto acesa,lâmpada queimada,substituir lâmpada
barulho de raspagem ao frear,pastilhas de freio desgastadas,substituir pastilhas de freio
luz de sistema de arrefecimento acesa,vazamento no sistema de refrigerante,reparar vazamento
luz de estabilidade acesa,problema no sistema de estabilidade,verificar e reparar sistema de estabilidade
dificuldade para engatar marcha,problemas na embreagem,substituir embreagem
luz de pressão de combustível piscando,bomba de combustível com problema,substituir bomba de combustível
carro faz barulho ao dirigir,problemas na suspensão,revisar e substituir peças da suspensão
luz de motor piscando,problemas no sistema de ignição,verificar e reparar sistema de ignição
luz de manutenção de motor piscando,problemas gerais no motor,realizar diagnóstico geral
carro não mantém a velocidade,problemas na transmissão,verificar e reparar transmissão
luz de sistema de ar condicionado acesa,problema no sistema de ar condicionado,verificar e reparar sistema de ar condicionado
carro engasga ao acelerar,problemas na mistura de ar-combustível,ajustar mistura de ar-combustível
luz de bateria piscando,problema na carga da bateria,verificar e substituir bateria
barulho de raspagem ao acelerar,problemas na correia dentada,substituir correia dentada
luz de sistema de refrigerante piscando,problema no sistema de arrefecimento,verificar e reparar sistema de arrefecimento
dificuldade para iniciar o carro,problemas na bomba de combustível,verificar e substituir bomba de combustível
barulho ao dirigir,problemas na suspensão,revisar e substituir peças da suspensão
luz de óleo piscando,problema na bomba de óleo,substituir bomba de óleo
carro não freia bem,problemas no sistema de freios,revisar e substituir sistema de freios
luz de motor piscando,problemas no sistema de ignição,verificar e reparar sistema de ignição
luz de pressão de óleo piscando,bomba de óleo com defeito,substituir bomba de óleo
barulho ao girar o volante,problemas na caixa de direção,substituir caixa de direção
luz de farol baixo piscando,lâmpada queimada,substituir lâmpada
carro não desengata marcha,problemas na embreagem,substituir embreagem
luz de injeção piscando,problema no módulo de injeção,verificar e substituir módulo de injeção
barulho ao frear,pastilhas de freio desgastadas,substituir pastilhas de freio
luz de sistema de ar condicionado piscando,problema no sistema de ar condicionado,verificar e reparar sistema de ar condicionado
carro não acelera,problemas na bomba de combustível,substituir bomba de combustível
luz de manutenção de motor piscando,problemas gerais no motor,realizar diagnóstico geral
barulho ao acelerar,problemas na correia dentada,substituir correia dentada
luz de pressão de combustível piscando,bomba de combustível com problema,substituir bomba de combustível
luz de abs piscando,problema no sistema abs,verificar e substituir sistema abs
carro faz barulho ao dirigir,problemas na suspensão,revisar e substituir peças da suspensão
luz de motor piscando,problemas no sistema de ignição,verificar e reparar sistema de ignição
carro engasga ao acelerar,problemas na mistura de ar-combustível,ajustar mistura de ar-combustível
luz de sistema de ar condicionado piscando,problema no sistema de ar condicionado,verificar e reparar sistema de ar condicionado
dificuldade para iniciar o carro,problemas na bomba de combustível,verificar e substituir bomba de combustível
barulho ao frear,pastilhas de freio desgastadas,substituir pastilhas de freio
luz de óleo piscando,problema na bomba de óleo,substituir bomba de óleo
carro não freia bem,problemas no sistema de freios,revisar e substituir sistema de freios
luz de motor piscando,problemas no sistema de ignição,verificar e reparar sistema de ignição
luz de pressão de óleo piscando,bomba de óleo com defeito,substituir bomba de óleo
barulho ao girar o volante,problemas na caixa de direção,substituir caixa de direção
luz de farol baixo piscando,lâmpada queimada,substituir lâmpada
carro não desengata marcha,problemas na embreagem,substituir embreagem
luz de injeção piscando,problema no módulo de injeção,verificar e substituir módulo de injeção
barulho ao frear,pastilhas de freio desgastadas,substituir pastilhas de freio
luz de sistema de ar condicionado piscando,problema no sistema de ar condicionado,verificar e reparar sistema de ar condicionado
carro não acelera,problemas na bomba de combustível,substituir bomba de combustível
luz de manutenção de motor piscando,problemas gerais no motor,realizar diagnóstico geral
barulho ao acelerar,problemas na correia dentada,substituir correia dentada
luz de pressão de combustível piscando,bomba de combustível com problema,substituir bomba de combustível
luz de abs piscando,problema no sistema abs,verificar e substituir sistema abs
carro faz barulho ao dirigir,problemas na suspensão,revisar e substituir peças da suspensão
luz de motor piscando,problemas no sistema de ignição,verificar e reparar sistema de ignição
carro engasga ao acelerar,problemas na mistura de ar-combustível,ajustar mistura de ar-combustível
luz de sistema de ar condicionado piscando,problema no sistema de ar condicionado,verificar e reparar sistema de ar condicionado
dificuldade para iniciar o carro,problemas na bomba de combustível,verificar e substituir bomba de combustível
barulho ao frear,pastilhas de freio desgastadas,substituir pastilhas de freio
luz de óleo piscando,problema na bomba de óleo,substituir bomba de óleo
carro não freia bem,problemas no sistema de freios,revisar e substituir sistema de freios
luz de motor piscando,problemas no sistema de ignição,verificar e reparar sistema de ignição
luz de pressão de óleo piscando,bomba de óleo com defeito,substituir bomba de óleo
barulho ao girar o volante,problemas na caixa de direção,substituir caixa de direção
luz de farol baixo piscando,lâmpada queimada,substituir lâmpada
carro não desengata marcha,problemas na embreagem,substituir embreagem
luz de injeção piscando,problema no módulo de injeção,verificar e substituir módulo de injeção
