cluster,problema,sintoma,solucao
0,bico injetor sujo ou danificado,luz de injeção acesa e vibração,limpar ou substituir bico injetor
0,bico injetor sujo ou danificado,luz de injeção acesa e vibração,limpar ou trocar bico injetor
0,bico injetor sujo ou danificado,luz de injeção acesa e vibração,limpar ou realizar a troca bico injetor
0,bomba de combustivel com problema,marcha lenta irregular,verificar e substituir a bomba
0,bomba de combustivel com problema,marcha lenta irregular,verificar e trocar a bomba
0,bomba de combustivel com problema,marcha lenta irregular,verificar e realizar a troca a bomba
0,bomba de combustivel com problema,marcha lenta irregular com barulho,verificar e substituir a bomba
0,bomba de combustivel com problema,marcha lenta irregular com barulho,verificar e trocar a bomba
0,bomba de combustivel com problema,marcha lenta irregular com barulho,verificar e realizar a troca a bomba
0,bomba de combustivel com problema,marcha lenta irregular e vibração,verificar e substituir a bomba
0,bomba de combustivel com problema,marcha lenta irregular e vibração,verificar e trocar a bomba
0,bomba de combustivel com problema,marcha lenta irregular e vibração,verificar e realizar a troca a bomba
0,bomba de combustível com problema,luz de pressão de combustível acesa,substituir bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível acesa,trocar bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível acesa,realizar a troca bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível acesa com barulho,substituir bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível acesa com barulho,trocar bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível acesa com barulho,realizar a troca bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível acesa e vibração,substituir bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível acesa e vibração,trocar bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível acesa e vibração,realizar a troca bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível piscando,substituir bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível piscando,trocar bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível piscando,realizar a troca bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível piscando com barulho,substituir bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível piscando com barulho,trocar bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível piscando com barulho,realizar a troca bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível piscando e vibração,substituir bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível piscando e vibração,trocar bomba de combustível
0,bomba de combustível com problema,luz de pressão de combustível piscando e vibração,realizar a troca bomba de combustível
0,bomba de óleo com defeito,luz de pressão de óleo acesa,substituir a bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo acesa,trocar a bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo acesa,realizar a troca a bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo acesa com barulho,substituir a bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo acesa com barulho,trocar a bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo acesa com barulho,realizar a troca a bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo acesa e vibração,substituir a bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo acesa e vibração,trocar a bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo acesa e vibração,realizar a troca a bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo piscando,substituir bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo piscando,trocar bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo piscando,realizar a troca bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo piscando com barulho,substituir bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo piscando com barulho,trocar bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo piscando com barulho,realizar a troca bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo piscando e vibração,substituir bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo piscando e vibração,trocar bomba de óleo
0,bomba de óleo com defeito,luz de pressão de óleo piscando e vibração,realizar a troca bomba de óleo
0,caixa de direção com problema,direcao com folga,substituir a caixa de direção
0,caixa de direção com problema,direcao com folga,trocar a caixa de direção
0,caixa de direção com problema,direcao com folga,realizar a troca a caixa de direção
0,caixa de direção com problema,direcao com folga com barulho,substituir a caixa de direção
0,caixa de direção com problema,direcao com folga com barulho,trocar a caixa de direção
0,caixa de direção com problema,direcao com folga com barulho,realizar a troca a caixa de direção
0,caixa de direção com problema,direcao com folga e vibração,substituir a caixa de direção
0,caixa de direção com problema,direcao com folga e vibração,trocar a caixa de direção
0,caixa de direção com problema,direcao com folga e vibração,realizar a troca a caixa de direção
0,catalisador com defeito,luz de sistema de escape acesa,substituir catalisador
0,catalisador com defeito,luz de sistema de escape acesa,trocar catalisador
0,catalisador com defeito,luz de sistema de escape acesa,realizar a troca catalisador
0,catalisador com defeito,luz de sistema de escape acesa com barulho,substituir catalisador
0,catalisador com defeito,luz de sistema de escape acesa com barulho,trocar catalisador
0,catalisador com defeito,luz de sistema de escape acesa com barulho,realizar a troca catalisador
0,catalisador com defeito,luz de sistema de escape acesa e vibração,substituir catalisador
0,catalisador com defeito,luz de sistema de escape acesa e vibração,trocar catalisador
0,catalisador com defeito,luz de sistema de escape acesa e vibração,realizar a troca catalisador
0,catalisador danificado,luz de sistema de exaustão acesa,substituir o catalisador
0,catalisador danificado,luz de sistema de exaustão acesa,trocar o catalisador
0,catalisador danificado,luz de sistema de exaustão acesa,realizar a troca o catalisador
0,catalisador danificado,luz de sistema de exaustão acesa com barulho,substituir o catalisador
0,catalisador danificado,luz de sistema de exaustão acesa com barulho,trocar o catalisador
0,catalisador danificado,luz de sistema de exaustão acesa com barulho,realizar a troca o catalisador
0,catalisador danificado,luz de sistema de exaustão acesa e vibração,substituir o catalisador
0,catalisador danificado,luz de sistema de exaustão acesa e vibração,trocar o catalisador
0,catalisador danificado,luz de sistema de exaustão acesa e vibração,realizar a troca o catalisador
0,chave de ignicao com problema,falha ao ligar,substituir a chave de ignicao
0,chave de ignicao com problema,falha ao ligar,trocar a chave de ignicao
0,chave de ignicao com problema,falha ao ligar,realizar a troca a chave de ignicao
0,chave de ignicao com problema,falha ao ligar com barulho,substituir a chave de ignicao
0,chave de ignicao com problema,falha ao ligar com barulho,trocar a chave de ignicao
0,chave de ignicao com problema,falha ao ligar com barulho,realizar a troca a chave de ignicao
0,chave de ignicao com problema,falha ao ligar e vibração,substituir a chave de ignicao
0,chave de ignicao com problema,falha ao ligar e vibração,trocar a chave de ignicao
0,chave de ignicao com problema,falha ao ligar e vibração,realizar a troca a chave de ignicao
0,correia de transmisao desgastada,cheiro de borracha queimada,substituir a correia de transmisao
0,correia de transmisao desgastada,cheiro de borracha queimada,trocar a correia de transmisao
0,correia de transmisao desgastada,cheiro de borracha queimada,realizar a troca a correia de transmisao
0,correia de transmisao desgastada,cheiro de borracha queimada com barulho,substituir a correia de transmisao
0,correia de transmisao desgastada,cheiro de borracha queimada com barulho,trocar a correia de transmisao
0,correia de transmisao desgastada,cheiro de borracha queimada com barulho,realizar a troca a correia de transmisao
0,correia de transmisao desgastada,cheiro de borracha queimada e vibração,substituir a correia de transmisao
0,correia de transmisao desgastada,cheiro de borracha queimada e vibração,trocar a correia de transmisao
0,correia de transmisao desgastada,cheiro de borracha queimada e vibração,realizar a troca a correia de transmisao
0,correia dentada desgastada,ruído no motor,substituir a correia dentada
0,correia dentada desgastada,ruído no motor,trocar a correia dentada
0,correia dentada desgastada,ruído no motor,realizar a troca a correia dentada
0,correia dentada desgastada,ruído no motor com barulho,substituir a correia dentada
0,correia dentada desgastada,ruído no motor com barulho,trocar a correia dentada
0,correia dentada desgastada,ruído no motor com barulho,realizar a troca a correia dentada
0,correia dentada desgastada,ruído no motor e vibração,substituir a correia dentada
0,correia dentada desgastada,ruído no motor e vibração,trocar a correia dentada
0,correia dentada desgastada,ruído no motor e vibração,realizar a troca a correia dentada
0,disco de freio danificado,cheiro de queimado ao frear,substituir discos de freio
0,disco de freio danificado,cheiro de queimado ao frear,trocar discos de freio
0,disco de freio danificado,cheiro de queimado ao frear,realizar a troca discos de freio
0,disco de freio danificado,cheiro de queimado ao frear com barulho,substituir discos de freio
0,disco de freio danificado,cheiro de queimado ao frear com barulho,trocar discos de freio
0,disco de freio danificado,cheiro de queimado ao frear com barulho,realizar a troca discos de freio
0,disco de freio danificado,cheiro de queimado ao frear e vibração,substituir discos de freio
0,disco de freio danificado,cheiro de queimado ao frear e vibração,trocar discos de freio
0,disco de freio danificado,cheiro de queimado ao frear e vibração,realizar a troca discos de freio
0,disco de freio empenado,desgaste irregular,substituir ou retificar os discos
0,disco de freio empenado,desgaste irregular,trocar ou retificar os discos
0,disco de freio empenado,desgaste irregular,realizar a troca ou retificar os discos
0,disco de freio empenado,desgaste irregular com barulho,substituir ou retificar os discos
0,disco de freio empenado,desgaste irregular com barulho,trocar ou retificar os discos
0,disco de freio empenado,desgaste irregular com barulho,realizar a troca ou retificar os discos
0,disco de freio empenado,desgaste irregular e vibração,substituir ou retificar os discos
0,disco de freio empenado,desgaste irregular e vibração,trocar ou retificar os discos
0,disco de freio empenado,desgaste irregular e vibração,realizar a troca ou retificar os discos
0,discos de freio desgastados,vibração ao frear,substituir discos de freio
0,discos de freio desgastados,vibração ao frear,trocar discos de freio
0,discos de freio desgastados,vibração ao frear,realizar a troca discos de freio
0,discos de freio desgastados,vibração ao frear com barulho,substituir discos de freio
0,discos de freio desgastados,vibração ao frear com barulho,trocar discos de freio
0,discos de freio desgastados,vibração ao frear com barulho,realizar a troca discos de freio
0,discos de freio desgastados,vibração ao frear e vibração,substituir discos de freio
0,discos de freio desgastados,vibração ao frear e vibração,trocar discos de freio
0,discos de freio desgastados,vibração ao frear e vibração,realizar a troca discos de freio
0,falta de fluido,direcao pesada,reabastecer o fluido de direcao
0,falta de fluido,direcao pesada com barulho,reabastecer o fluido de direcao
0,falta de fluido,direcao pesada e vibração,reabastecer o fluido de direcao
0,filtro de ar entupido,perda de potencia,trocar o filtro de ar
0,filtro de ar entupido,perda de potencia com barulho,trocar o filtro de ar
0,filtro de ar entupido,perda de potencia e vibração,trocar o filtro de ar
0,filtro de ar sujo,aumento no consumo,trocar o filtro de ar
0,filtro de ar sujo,aumento no consumo com barulho,trocar o filtro de ar
0,filtro de ar sujo,aumento no consumo e vibração,trocar o filtro de ar
0,filtro de cabine sujo,ar condicionado fraco,trocar o filtro de cabine
0,filtro de cabine sujo,ar condicionado fraco com barulho,trocar o filtro de cabine
0,filtro de cabine sujo,ar condicionado fraco e vibração,trocar o filtro de cabine
0,filtro de combustivel entupido,aceleracao lenta,trocar o filtro de combustivel
0,filtro de combustivel entupido,aceleracao lenta com barulho,trocar o filtro de combustivel
0,filtro de combustivel entupido,aceleracao lenta e vibração,trocar o filtro de combustivel
0,fusível queimado ou ventilador com problema,ventilador do radiador não funciona,substituir fusível ou ventilador
0,fusível queimado ou ventilador com problema,ventilador do radiador não funciona,trocar fusível ou ventilador
0,fusível queimado ou ventilador com problema,ventilador do radiador não funciona,realizar a troca fusível ou ventilador
0,fusível queimado ou ventilador com problema,ventilador do radiador não funciona com barulho,substituir fusível ou ventilador
0,fusível queimado ou ventilador com problema,ventilador do radiador não funciona com barulho,trocar fusível ou ventilador
0,fusível queimado ou ventilador com problema,ventilador do radiador não funciona com barulho,realizar a troca fusível ou ventilador
0,fusível queimado ou ventilador com problema,ventilador do radiador não funciona e vibração,substituir fusível ou ventilador
0,fusível queimado ou ventilador com problema,ventilador do radiador não funciona e vibração,trocar fusível ou ventilador
0,fusível queimado ou ventilador com problema,ventilador do radiador não funciona e vibração,realizar a troca fusível ou ventilador
0,lmpada queimada,luz de farol baixo acesa,substituir lmpada
0,lmpada queimada,luz de farol baixo acesa,trocar lmpada
0,lmpada queimada,luz de farol baixo acesa,realizar a troca lmpada
0,lmpada queimada,luz de farol baixo acesa com barulho,substituir lmpada
0,lmpada queimada,luz de farol baixo acesa com barulho,trocar lmpada
0,lmpada queimada,luz de farol baixo acesa com barulho,realizar a troca lmpada
0,lmpada queimada,luz de farol baixo acesa e vibração,substituir lmpada
0,lmpada queimada,luz de farol baixo acesa e vibração,trocar lmpada
0,lmpada queimada,luz de farol baixo acesa e vibração,realizar a troca lmpada
0,lmpada queimada,luz de farol alto acesa,substituir lmpada
0,lmpada queimada,luz de farol alto acesa,trocar lmpada
0,lmpada queimada,luz de farol alto acesa,realizar a troca lmpada
0,lmpada queimada,luz de farol alto acesa com barulho,substituir lmpada
0,lmpada queimada,luz de farol alto acesa com barulho,trocar lmpada
0,lmpada queimada,luz de farol alto acesa com barulho,realizar a troca lmpada
0,lmpada queimada,luz de farol alto acesa e vibração,substituir lmpada
0,lmpada queimada,luz de farol alto acesa e vibração,trocar lmpada
0,lmpada queimada,luz de farol alto acesa e vibração,realizar a troca lmpada
0,lmpada queimada,luz de farol baixo piscando,substituir lmpada
0,lmpada queimada,luz de farol baixo piscando,trocar lmpada
0,lmpada queimada,luz de farol baixo piscando,realizar a troca lmpada
0,lmpada queimada,luz de farol baixo piscando com barulho,substituir lmpada
0,lmpada queimada,luz de farol baixo piscando com barulho,trocar lmpada
0,lmpada queimada,luz de farol baixo piscando com barulho,realizar a troca lmpada
0,lmpada queimada,luz de farol baixo piscando e vibração,substituir lmpada
0,lmpada queimada,luz de farol baixo piscando e vibração,trocar lmpada
0,lmpada queimada,luz de farol baixo piscando e vibração,realizar a troca lmpada
0,motor de partida com problema,barulho ao girar a chave,substituir motor de partida
0,motor de partida com problema,barulho ao girar a chave,trocar motor de partida
0,motor de partida com problema,barulho ao girar a chave,realizar a troca motor de partida
0,motor de partida com problema,barulho ao girar a chave com barulho,substituir motor de partida
0,motor de partida com problema,barulho ao girar a chave com barulho,trocar motor de partida
0,motor de partida com problema,barulho ao girar a chave com barulho,realizar a troca motor de partida
0,motor de partida com problema,barulho ao girar a chave e vibração,substituir motor de partida
0,motor de partida com problema,barulho ao girar a chave e vibração,trocar motor de partida
0,motor de partida com problema,barulho ao girar a chave e vibração,realizar a troca motor de partida
0,motor desregulado,marcha lenta irregular,verificar e ajustar motor
0,motor desregulado,marcha lenta irregular com barulho,verificar e ajustar motor
0,motor desregulado,marcha lenta irregular e vibração,verificar e ajustar motor
0,oleo baixo,luz de oleo acesa,completar o oleo e checar vazamentos
0,oleo baixo,luz de oleo acesa com barulho,completar o oleo e checar vazamentos
0,oleo baixo,luz de oleo acesa e vibração,completar o oleo e checar vazamentos
0,pastilhas de freio desgastadas,barulho ao frear,substituir
0,pastilhas de freio desgastadas,barulho ao frear,trocar
0,pastilhas de freio desgastadas,barulho ao frear,realizar a troca
0,pastilhas de freio desgastadas,barulho ao frear com barulho,substituir
0,pastilhas de freio desgastadas,barulho ao frear com barulho,trocar
0,pastilhas de freio desgastadas,barulho ao frear com barulho,realizar a troca
0,pastilhas de freio desgastadas,barulho ao frear e vibração,substituir
0,pastilhas de freio desgastadas,barulho ao frear e vibração,trocar
0,pastilhas de freio desgastadas,barulho ao frear e vibração,realizar a troca
0,pastilhas de freio desgastadas,barulho de raspagem ao frear,substituir pastilhas de freio
0,pastilhas de freio desgastadas,barulho de raspagem ao frear,trocar pastilhas de freio
0,pastilhas de freio desgastadas,barulho de raspagem ao frear,realizar a troca pastilhas de freio
0,pastilhas de freio desgastadas,barulho de raspagem ao frear com barulho,substituir pastilhas de freio
0,pastilhas de freio desgastadas,barulho de raspagem ao frear com barulho,trocar pastilhas de freio
0,pastilhas de freio desgastadas,barulho de raspagem ao frear com barulho,realizar a troca pastilhas de freio
0,pastilhas de freio desgastadas,barulho de raspagem ao frear e vibração,substituir pastilhas de freio
0,pastilhas de freio desgastadas,barulho de raspagem ao frear e vibração,trocar pastilhas de freio
0,pastilhas de freio desgastadas,barulho de raspagem ao frear e vibração,realizar a troca pastilhas de freio
0,pastilhas de freio desgastadas,barulho ao frear,substituir pastilhas de freio
0,pastilhas de freio desgastadas,barulho ao frear,trocar pastilhas de freio
0,pastilhas de freio desgastadas,barulho ao frear,realizar a troca pastilhas de freio
0,pastilhas de freio desgastadas,barulho ao frear com barulho,substituir pastilhas de freio
0,pastilhas de freio desgastadas,barulho ao frear com barulho,trocar pastilhas de freio
0,pastilhas de freio desgastadas,barulho ao frear com barulho,realizar a troca pastilhas de freio
0,pastilhas de freio desgastadas,barulho ao frear e vibração,substituir pastilhas de freio
0,pastilhas de freio desgastadas,barulho ao frear e vibração,trocar pastilhas de freio
0,pastilhas de freio desgastadas,barulho ao frear e vibração,realizar a troca pastilhas de freio
0,pastilhas de freio gastas,luz de freio acesa,trocar pastilhas de freio
0,pastilhas de freio gastas,luz de freio acesa com barulho,trocar pastilhas de freio
0,pastilhas de freio gastas,luz de freio acesa e vibração,trocar pastilhas de freio
0,pastilhas de freio gastas,barulho de grunhido ao frear,substituir pastilhas de freio
0,pastilhas de freio gastas,barulho de grunhido ao frear,trocar pastilhas de freio
0,pastilhas de freio gastas,barulho de grunhido ao frear,realizar a troca pastilhas de freio
0,pastilhas de freio gastas,barulho de grunhido ao frear com barulho,substituir pastilhas de freio
0,pastilhas de freio gastas,barulho de grunhido ao frear com barulho,trocar pastilhas de freio
0,pastilhas de freio gastas,barulho de grunhido ao frear com barulho,realizar a troca pastilhas de freio
0,pastilhas de freio gastas,barulho de grunhido ao frear e vibração,substituir pastilhas de freio
0,pastilhas de freio gastas,barulho de grunhido ao frear e vibração,trocar pastilhas de freio
0,pastilhas de freio gastas,barulho de grunhido ao frear e vibração,realizar a troca pastilhas de freio
0,pastilhas desgatadas,freio ruidosos,substituir as pastilhas de freio
0,pastilhas desgatadas,freio ruidosos,trocar as pastilhas de freio
0,pastilhas desgatadas,freio ruidosos,realizar a troca as pastilhas de freio
0,pastilhas desgatadas,freio ruidosos com barulho,substituir as pastilhas de freio
0,pastilhas desgatadas,freio ruidosos com barulho,trocar as pastilhas de freio
0,pastilhas desgatadas,freio ruidosos com barulho,realizar a troca as pastilhas de freio
0,pastilhas desgatadas,freio ruidosos e vibração,substituir as pastilhas de freio
0,pastilhas desgatadas,freio ruidosos e vibração,trocar as pastilhas de freio
0,pastilhas desgatadas,freio ruidosos e vibração,realizar a troca as pastilhas de freio
0,pneus desbalanceados,vibracao ao frear,balancear e realinhar pneus
0,pneus desbalanceados,vibracao ao frear com barulho,balancear e realinhar pneus
0,pneus desbalanceados,vibracao ao frear e vibração,balancear e realinhar pneus
0,problema geral no motor,luz de manutenção acesa,realizar diagnóstico geral
0,problema geral no motor,luz de manutenção acesa com barulho,realizar diagnóstico geral
0,problema geral no motor,luz de manutenção acesa e vibração,realizar diagnóstico geral
0,problema na bomba de direção,luz de sistema de direção acesa,substituir bomba de direção
0,problema na bomba de direção,luz de sistema de direção acesa,trocar bomba de direção
0,problema na bomba de direção,luz de sistema de direção acesa,realizar a troca bomba de direção
0,problema na bomba de direção,luz de sistema de direção acesa com barulho,substituir bomba de direção
0,problema na bomba de direção,luz de sistema de direção acesa com barulho,trocar bomba de direção
0,problema na bomba de direção,luz de sistema de direção acesa com barulho,realizar a troca bomba de direção
0,problema na bomba de direção,luz de sistema de direção acesa e vibração,substituir bomba de direção
0,problema na bomba de direção,luz de sistema de direção acesa e vibração,trocar bomba de direção
0,problema na bomba de direção,luz de sistema de direção acesa e vibração,realizar a troca bomba de direção
0,problema na bomba de óleo,luz de óleo piscando,substituir bomba de óleo
0,problema na bomba de óleo,luz de óleo piscando,trocar bomba de óleo
0,problema na bomba de óleo,luz de óleo piscando,realizar a troca bomba de óleo
0,problema na bomba de óleo,luz de óleo piscando com barulho,substituir bomba de óleo
0,problema na bomba de óleo,luz de óleo piscando com barulho,trocar bomba de óleo
0,problema na bomba de óleo,luz de óleo piscando com barulho,realizar a troca bomba de óleo
0,problema na bomba de óleo,luz de óleo piscando e vibração,substituir bomba de óleo
0,problema na bomba de óleo,luz de óleo piscando e vibração,trocar bomba de óleo
0,problema na bomba de óleo,luz de óleo piscando e vibração,realizar a troca bomba de óleo
0,problema na carga da bateria,luz de bateria intermitente,verificar e substituir bateria
0,problema na carga da bateria,luz de bateria intermitente,verificar e trocar bateria
0,problema na carga da bateria,luz de bateria intermitente,verificar e realizar a troca bateria
0,problema na carga da bateria,luz de bateria intermitente com barulho,verificar e substituir bateria
0,problema na carga da bateria,luz de bateria intermitente com barulho,verificar e trocar bateria
0,problema na carga da bateria,luz de bateria intermitente com barulho,verificar e realizar a troca bateria
0,problema na carga da bateria,luz de bateria intermitente e vibração,verificar e substituir bateria
0,problema na carga da bateria,luz de bateria intermitente e vibração,verificar e trocar bateria
0,problema na carga da bateria,luz de bateria intermitente e vibração,verificar e realizar a troca bateria
0,problema na carga da bateria,luz de bateria piscando,verificar e substituir bateria
0,problema na carga da bateria,luz de bateria piscando,verificar e trocar bateria
0,problema na carga da bateria,luz de bateria piscando,verificar e realizar a troca bateria
0,problema na carga da bateria,luz de bateria piscando com barulho,verificar e substituir bateria
0,problema na carga da bateria,luz de bateria piscando com barulho,verificar e trocar bateria
0,problema na carga da bateria,luz de bateria piscando com barulho,verificar e realizar a troca bateria
0,problema na carga da bateria,luz de bateria piscando e vibração,verificar e substituir bateria
0,problema na carga da bateria,luz de bateria piscando e vibração,verificar e trocar bateria
0,problema na carga da bateria,luz de bateria piscando e vibração,verificar e realizar a troca bateria
0,problema na embreagem,carro não desengata marcha,verificar e substituir embreagem
0,problema na embreagem,carro não desengata marcha,verificar e trocar embreagem
0,problema na embreagem,carro não desengata marcha,verificar e realizar a troca embreagem
0,problema na embreagem,carro não desengata marcha com barulho,verificar e substituir embreagem
0,problema na embreagem,carro não desengata marcha com barulho,verificar e trocar embreagem
0,problema na embreagem,carro não desengata marcha com barulho,verificar e realizar a troca embreagem
0,problema na embreagem,carro não desengata marcha e vibração,verificar e substituir embreagem
0,problema na embreagem,carro não desengata marcha e vibração,verificar e trocar embreagem
0,problema na embreagem,carro não desengata marcha e vibração,verificar e realizar a troca embreagem
0,problema na transmissão,luz de cambio acesa,verificar e reparar transmissão
0,problema na transmissão,luz de cambio acesa com barulho,verificar e reparar transmissão
0,problema na transmissão,luz de cambio acesa e vibração,verificar e reparar transmissão
0,problema na transmissão,luz de transmissão acesa,verificar e reparar transmissão
0,problema na transmissão,luz de transmissão acesa com barulho,verificar e reparar transmissão
0,problema na transmissão,luz de transmissão acesa e vibração,verificar e reparar transmissão
0,problema na válvula de marcha lenta,marcha lenta muito alta,substituir válvula
0,problema na válvula de marcha lenta,marcha lenta muito alta,trocar válvula
0,problema na válvula de marcha lenta,marcha lenta muito alta,realizar a troca válvula
0,problema na válvula de marcha lenta,marcha lenta muito alta com barulho,substituir válvula
0,problema na válvula de marcha lenta,marcha lenta muito alta com barulho,trocar válvula
0,problema na válvula de marcha lenta,marcha lenta muito alta com barulho,realizar a troca válvula
0,problema na válvula de marcha lenta,marcha lenta muito alta e vibração,substituir válvula
0,problema na válvula de marcha lenta,marcha lenta muito alta e vibração,trocar válvula
0,problema na válvula de marcha lenta,marcha lenta muito alta e vibração,realizar a troca válvula
0,problema no alternador,motor nao liga,reparar ou substituir o alternador
0,problema no alternador,motor nao liga,reparar ou trocar o alternador
0,problema no alternador,motor nao liga,reparar ou realizar a troca o alternador
0,problema no alternador,motor nao liga com barulho,reparar ou substituir o alternador
0,problema no alternador,motor nao liga com barulho,reparar ou trocar o alternador
0,problema no alternador,motor nao liga com barulho,reparar ou realizar a troca o alternador
0,problema no alternador,motor nao liga e vibração,reparar ou substituir o alternador
0,problema no alternador,motor nao liga e vibração,reparar ou trocar o alternador
0,problema no alternador,motor nao liga e vibração,reparar ou realizar a troca o alternador
0,problema no escape,barulho ao acelerar,verificar e substituir peças do escape
0,problema no escape,barulho ao acelerar,verificar e trocar peças do escape
0,problema no escape,barulho ao acelerar,verificar e realizar a troca peças do escape
0,problema no escape,barulho ao acelerar com barulho,verificar e substituir peças do escape
